image 1/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\00c9sdfq.jpg: 640x480 1 potholes, 88.8ms
image 205/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ap9o18vg.jpg: 288x640 2 potholess, 24.9ms
image 206/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\apenlmrn.jpg: 384x640 1 potholes, 18.9ms
image 207/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aptpks6u.jpg: 640x480 5 potholess, 23.9ms
image 208/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aq10ek4z.jpg: 640x640 3 potholess, 39.9ms
image 209/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aq4joijl.jpg: 384x640 1 potholes, 24.9ms
image 210/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aq5drrd5.jpg: 448x640 3 potholess, 33.9ms
image 211/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aq5kdd50.jpg: 640x480 1 potholes, 34.9ms
image 212/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aqgzjtc6.jpg: 480x640 1 potholes, 37.9ms
image 213/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aqyc06hq.jpg: 384x640 (no detections), 29.9ms
image 214/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ar4v4nmy.jpg: 640x640 2 potholess, 42.9ms
image 215/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ar5s6x5a.jpg: 640x640 1 potholes, 39.9ms
image 216/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\arg7uas7.jpg: 352x640 (no detections), 27.9ms
image 217/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\asfwz4cz.jpg: 480x640 (no detections), 30.9ms
image 218/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\at4akq41.jpg: 384x640 2 potholess, 19.9ms
image 219/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\atk45r26.jpg: 384x640 (no detections), 18.9ms
image 220/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\auhh5ab3.jpg: 640x640 (no detections), 28.9ms
image 221/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aujz6fi1.jpg: 640x640 (no detections), 24.9ms
image 222/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\av0hpbpg.jpg: 352x640 2 potholess, 18.9ms
image 223/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\avaq35gx.jpg: 640x640 1 potholes, 25.9ms
image 224/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\avw6rnfa.jpg: 288x640 1 potholes, 17.0ms
image 225/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aw9xjptm.jpg: 416x640 2 potholess, 20.9ms
image 226/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\awirw8te.jpg: 480x640 25 potholess, 22.9ms
image 227/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\awmk53sd.jpg: 640x640 (no detections), 25.9ms
image 228/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\awq2i0us.jpg: 448x640 4 potholess, 21.9ms
image 229/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\awsfzaw0.jpg: 448x640 11 potholess, 22.9ms
image 230/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\awvmmabn.jpg: 480x640 3 potholess, 23.9ms
image 231/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ayh4bkzg.jpg: 448x640 1 potholes, 23.9ms
image 232/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ayngs4uj.jpg: 640x576 2 potholess, 313.2ms
image 233/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ayx0rdh0.jpg: 640x640 (no detections), 25.9ms
image 234/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ayyfgohz.jpg: 448x640 1 potholes, 23.9ms
image 235/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ayysu862.jpg: 448x640 1 potholes, 27.9ms
image 236/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\aza7r1j6.jpg: 640x640 2 potholess, 26.9ms
image 237/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b0483vj1.jpg: 448x640 (no detections), 23.9ms
image 238/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b0obfcbk.jpg: 640x640 1 potholes, 26.9ms
image 239/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b0qwolyo.jpg: 448x640 2 potholess, 55.9ms
image 240/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b1pibc52.jpg: 384x640 3 potholess, 24.9ms
image 241/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b21dw3re.jpg: 448x640 3 potholess, 24.9ms
image 242/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b23fws6u.jpg: 640x640 4 potholess, 28.9ms
image 243/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b2io9f8k.jpg: 448x640 2 potholess, 24.9ms
image 244/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b2tx77tc.jpg: 448x640 1 potholes, 43.9ms
image 245/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b2z6ucns.jpg: 448x640 1 potholes, 22.9ms
image 246/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b3m7dbwd.jpg: 640x640 (no detections), 27.9ms
image 247/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b3p6j0fh.jpg: 448x640 (no detections), 25.9ms
image 248/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b4dhh72i.jpg: 384x640 3 potholess, 18.0ms
image 249/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b4x541ga.jpg: 448x640 2 potholess, 23.9ms
image 250/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b59alij5.jpg: 384x640 1 potholes, 19.0ms
image 251/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b5bdzekg.jpg: 384x640 3 potholess, 18.9ms
image 252/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b5gu4k65.jpg: 448x640 5 potholess, 28.9ms
image 253/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b617kxof.jpg: 448x640 1 potholes, 34.9ms
image 254/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b64sd6c0.jpg: 384x640 1 potholes, 26.9ms
image 255/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b6em1v7n.jpg: 384x640 2 potholess, 25.9ms
image 256/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b6h2pkj8.jpg: 320x640 1 potholes, 25.9ms
image 257/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b6ihwukl.jpg: 320x640 1 potholes, 25.9ms
image 258/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b6mpvslv.jpg: 320x640 1 potholes, 23.9ms
image 259/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b75jsnvx.jpg: 384x640 1 potholes, 25.9ms
image 260/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b76886wh.jpg: 384x640 (no detections), 22.9ms
image 261/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b778oi0h.jpg: 480x640 2 potholess, 33.9ms
image 262/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b79gdnoj.jpg: 384x640 (no detections), 21.9ms
image 263/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b7g2ii41.jpg: 640x480 3 potholess, 26.9ms
image 264/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b7je45fu.jpg: 480x640 4 potholess, 26.9ms
image 265/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b7wh1fbw.jpg: 384x640 3 potholess, 65.8ms
image 266/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b80g03m1.jpg: 448x640 2 potholess, 31.9ms
image 267/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b8u20dqx.jpg: 448x640 4 potholess, 25.9ms
image 268/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b903oxt7.jpg: 352x640 4 potholess, 20.9ms
image 269/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b90daya2.jpg: 384x640 1 potholes, 22.9ms
image 270/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\b98ho1ez.jpg: 448x640 1 potholes, 25.9ms
image 271/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ba4vfxh6.jpg: 448x640 3 potholess, 24.9ms
image 272/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ba8sqjbd.jpg: 640x640 1 potholes, 31.9ms
image 273/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\balau19m.jpg: 640x480 3 potholess, 28.9ms
image 274/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bauy2lhd.jpg: 640x640 (no detections), 29.9ms
image 275/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bavsha2m.jpg: 480x640 (no detections), 27.9ms
image 276/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bb9oa1ku.jpg: 448x640 3 potholess, 26.9ms
image 277/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bbf7ldca.jpg: 352x640 3 potholess, 19.9ms
image 278/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bbif47qc.jpg: 416x640 (no detections), 25.9ms
image 279/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bbpdyrii.jpg: 480x640 2 potholess, 25.9ms
image 280/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bbyhm5qz.jpg: 448x640 (no detections), 24.9ms
image 281/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bc388nlu.jpg: 640x544 1 potholes, 30.9ms
image 282/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bce6n4v9.jpg: 640x640 1 potholes, 27.9ms
image 283/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bd9rwwyh.jpg: 416x640 1 potholes, 22.9ms
image 284/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bddddkqh.jpg: 448x640 1 potholes, 23.9ms
image 285/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bdx0wfee.jpg: 320x640 1 potholes, 17.9ms
image 286/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\be3yjdoi.jpg: 640x448 3 potholess, 22.9ms
image 287/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\beehrqy7.jpg: 640x640 3 potholess, 26.9ms
image 288/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\beoqnc8i.jpg: 640x640 3 potholess, 99.7ms
image 289/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bfa647m8.jpg: 384x640 2 potholess, 38.9ms
image 290/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bfr6eq03.jpg: 480x640 3 potholess, 25.9ms
image 291/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bg7w5071.jpg: 448x640 3 potholess, 22.9ms
image 292/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bgoavtsb.jpg: 640x480 7 potholess, 21.9ms
image 293/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bh1bzfjz.jpg: 384x640 2 potholess, 18.9ms
image 294/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bhowpdsa.jpg: 384x640 (no detections), 17.0ms
image 295/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bigts2xn.jpg: 384x640 3 potholess, 18.9ms
image 296/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bipc2axy.jpg: 640x512 2 potholess, 27.9ms
image 297/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\biv6z5rm.jpg: 384x640 3 potholess, 22.9ms
image 298/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bj9aesbz.jpg: 480x640 4 potholess, 29.9ms
image 299/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bjec6q83.jpg: 640x480 5 potholess, 37.9ms
image 300/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bjmqgkvb.jpg: 416x640 3 potholess, 48.9ms
image 301/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bk0xcjy1.jpg: 640x640 (no detections), 52.9ms
image 302/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bkujtcsn.jpg: 640x384 5 potholess, 29.9ms
image 303/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bkw2kd75.jpg: 640x576 (no detections), 40.9ms
image 304/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bkycfvzv.jpg: 416x640 1 potholes, 38.9ms
image 305/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bl6xol8b.jpg: 448x640 1 potholes, 29.9ms
image 306/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\blxgiv0n.jpg: 352x640 (no detections), 21.9ms
image 307/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bm5yudvl.jpg: 416x640 (no detections), 27.9ms
image 308/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bma3dt1m.jpg: 320x640 1 potholes, 32.9ms
image 309/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bmcqa8pb.jpg: 480x640 2 potholess, 39.9ms
image 310/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bmgbudui.jpg: 448x640 1 potholes, 27.9ms
image 311/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bmv6qy66.jpg: 480x640 (no detections), 28.9ms
image 312/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bmvouue9.jpg: 448x640 6 potholess, 27.9ms
image 313/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bn18gtme.jpg: 352x640 2 potholess, 20.9ms
image 314/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bn6kva5i.jpg: 320x640 1 potholes, 20.9ms
image 315/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bnh5s17n.jpg: 448x640 1 potholes, 26.9ms
image 316/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bntg2s7h.jpg: 384x640 1 potholes, 21.9ms
image 317/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bochmcmj.jpg: 384x640 12 potholess, 39.9ms
image 318/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bp2ib7tv.jpg: 448x640 2 potholess, 108.2ms
image 319/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bpcjo7lj.jpg: 480x640 (no detections), 80.8ms
image 320/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bpnjbf44.jpg: 640x640 (no detections), 56.8ms
image 321/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bqadbnum.jpg: 448x640 3 potholess, 25.9ms
image 322/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bqtcplgc.jpg: 640x640 (no detections), 27.9ms
image 323/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\brfww3e8.jpg: 384x640 4 potholess, 20.9ms
image 324/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\brqri1u6.jpg: 384x640 (no detections), 18.9ms
image 325/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\brs8tn42.jpg: 384x640 3 potholess, 21.9ms
image 326/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bs13bj9f.jpg: 448x640 1 potholes, 26.9ms
image 327/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bsbil0vk.jpg: 384x640 (no detections), 19.0ms
image 328/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bsgqinb5.jpg: 640x480 2 potholess, 24.9ms
image 329/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bswb9urm.jpg: 480x640 (no detections), 23.9ms
image 330/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bswi48h8.jpg: 320x640 1 potholes, 20.9ms
image 331/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bt3kzmml.jpg: 448x640 1 potholes, 24.9ms
image 332/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\btc9w5yu.jpg: 640x480 2 potholess, 22.9ms
image 333/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bts5lc4c.jpg: 640x640 2 potholess, 25.9ms
image 334/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\btttf93y.jpg: 640x448 3 potholess, 20.9ms
image 335/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bucf55cm.jpg: 352x640 (no detections), 18.0ms
image 336/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bugigghk.jpg: 480x640 (no detections), 23.9ms
image 337/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bv8xq7cd.jpg: 384x640 (no detections), 64.8ms
image 338/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bvu2y8u6.jpg: 640x640 (no detections), 63.8ms
image 339/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bvupvop6.jpg: 288x640 (no detections), 16.0ms
image 340/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bw3hdtwj.jpg: 640x640 1 potholes, 25.9ms
image 341/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bxq2m3q3.jpg: 384x640 1 potholes, 24.9ms
image 342/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\byus3bl8.jpg: 384x640 3 potholess, 30.9ms
image 343/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bzeshwfg.jpg: 448x640 1 potholes, 24.9ms
image 344/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bznrgynn.jpg: 480x640 2 potholess, 25.9ms
image 345/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\bzwmyaxj.jpg: 640x640 2 potholess, 31.9ms
image 346/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c0vlep2c.jpg: 384x640 1 potholes, 21.9ms
image 347/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c11a79tr.jpg: 640x480 (no detections), 25.9ms
image 348/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c139j0hp.jpg: 384x640 (no detections), 24.9ms
image 349/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c1h5aoy9.jpg: 416x640 5 potholess, 33.9ms
image 350/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c1n13pss.jpg: 416x640 (no detections), 29.9ms
image 351/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c1t8k82c.jpg: 448x640 5 potholess, 34.9ms
image 352/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c1tnok6h.jpg: 352x640 2 potholess, 25.9ms
image 353/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c1vvnkow.jpg: 384x640 1 potholes, 24.9ms
image 354/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c22msux1.jpg: 384x640 1 potholes, 23.9ms
image 355/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c2zeq8tw.jpg: 448x640 (no detections), 33.9ms
image 356/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c36sauyo.jpg: 640x640 2 potholess, 78.8ms
image 357/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c3d4rzpo.jpg: 352x640 1 potholes, 55.9ms
image 358/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c3mwmc20.jpg: 640x640 2 potholess, 40.9ms
image 359/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c4hut3sr.jpg: 480x640 (no detections), 39.9ms
image 360/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c4p6196j.jpg: 480x640 3 potholess, 40.9ms
image 361/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c4z5ai0k.jpg: 448x640 2 potholess, 42.9ms
image 362/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c565d3wv.jpg: 640x640 1 potholes, 49.9ms
image 363/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c5irg09j.jpg: 448x640 5 potholess, 41.9ms
image 364/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c5nqh4xu.jpg: 448x640 6 potholess, 26.9ms
image 365/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c5sm584i.jpg: 384x640 3 potholess, 21.9ms
image 366/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c6fm6mbm.jpg: 448x640 1 potholes, 30.9ms
image 367/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c6ljsmoa.jpg: 352x640 2 potholess, 21.9ms
image 368/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c6ng5tuq.jpg: 640x480 2 potholess, 27.9ms
image 369/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c7ih3aqv.jpg: 448x640 2 potholess, 26.9ms
image 370/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c86yghub.jpg: 416x640 1 potholes, 28.9ms
image 371/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c89htbb8.jpg: 640x480 1 potholes, 26.9ms
image 372/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c9crcb0z.jpg: 448x640 5 potholess, 57.8ms
image 373/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c9kb6mss.jpg: 480x640 2 potholess, 59.8ms
image 374/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c9oowub9.jpg: 352x640 (no detections), 43.9ms
image 375/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\c9sbba80.jpg: 448x640 (no detections), 44.9ms
image 376/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ca1hzwdw.jpg: 448x640 (no detections), 45.9ms
image 377/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cab4jo4j.jpg: 480x640 1 potholes, 75.8ms
image 378/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cavok3ea.jpg: 352x640 1 potholes, 22.9ms
image 379/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cc80wfoi.jpg: 448x640 3 potholess, 28.9ms
image 380/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cc82zh11.jpg: 640x640 (no detections), 31.9ms
image 381/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ccpir5if.jpg: 640x640 (no detections), 28.9ms
image 382/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cd85c2mg.jpg: 288x640 (no detections), 16.0ms
image 383/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ceh1ntf5.jpg: 576x640 3 potholess, 24.9ms
image 384/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\celxiawn.jpg: 640x640 1 potholes, 25.9ms
image 385/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cf2e9qg2.jpg: 480x640 1 potholes, 21.9ms
image 386/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cf5bxb1m.jpg: 320x640 4 potholess, 17.0ms
image 387/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cf8y9m68.jpg: 384x640 4 potholess, 17.0ms
image 388/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cfkmf1he.jpg: 448x640 5 potholess, 21.9ms
image 389/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cgjo31mz.jpg: 480x640 1 potholes, 23.9ms
image 390/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cgx9q84z.jpg: 640x640 1 potholes, 32.2ms
image 391/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\chfrumnv.jpg: 448x640 2 potholess, 20.9ms
image 392/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cho5mljc.jpg: 448x640 5 potholess, 19.9ms
image 393/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ci9w0tvb.jpg: 448x640 3 potholess, 20.9ms
image 394/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ciaw8kx6.jpg: 480x640 1 potholes, 20.9ms
image 395/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ciewrdop.jpg: 640x448 1 potholes, 18.9ms
image 396/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cihmru2s.jpg: 384x640 1 potholes, 17.0ms
image 397/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\ciovx95e.jpg: 352x640 (no detections), 30.9ms
image 398/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cit1vbva.jpg: 480x640 (no detections), 22.9ms
image 399/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cit70vna.jpg: 448x640 (no detections), 23.9ms
image 400/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\civmaj2k.jpg: 288x640 2 potholess, 17.0ms
image 401/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cj4k5ix5.jpg: 480x640 2 potholess, 42.9ms
image 402/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cjg0keli.jpg: 448x640 1 potholes, 37.9ms
image 403/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cji8armx.jpg: 448x640 2 potholess, 126.7ms
image 404/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cju5qb9t.jpg: 640x480 4 potholess, 37.9ms
image 405/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cko4qf7p.jpg: 640x640 2 potholess, 31.9ms
image 406/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cl1txd9b.jpg: 256x640 1 potholes, 19.9ms
image 407/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cl2id5ir.jpg: 640x480 4 potholess, 28.9ms
image 408/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cl9uu3uz.jpg: 384x640 (no detections), 23.9ms
image 409/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\clb44kyr.jpg: 448x640 (no detections), 28.9ms
image 410/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cljzy6ke.jpg: 480x640 1 potholes, 450.8ms
image 411/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cm8e0oeg.jpg: 448x640 1 potholes, 21.9ms
image 412/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cmf6e7fp.jpg: 448x640 1 potholes, 21.9ms
image 413/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cmfltycy.jpg: 640x480 4 potholess, 19.9ms
image 414/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\co0989bl.jpg: 640x480 3 potholess, 37.9ms
image 415/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cojumhit.jpg: 640x512 5 potholess, 20.9ms
image 416/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\copg9n1u.jpg: 640x480 1 potholes, 21.9ms
image 417/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cp63vcvz.jpg: 448x640 5 potholess, 21.9ms
image 418/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cpd7obzw.jpg: 448x640 4 potholess, 20.9ms
image 419/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cpnezba0.jpg: 384x640 (no detections), 17.0ms
image 420/490 E:\University\PythonProject\UltralyticsPotholes\potholes\part3\cpotatl6.jpg: 352x640 1 potholes, 18.0ms
